op,instruction_count,percent
LOAD_OP,1186916,39.45451191115292
INTP_OP,933462,31.029396855050084
SP_OP,396412,13.177210498235722
ALU_OP,353699,11.757379130842349
DP_OP,99476,3.306701592087265
SFU_OP,34004,1.1303337582666708
SPECIALIZED_UNIT_1_OP,4346,0.14446625436498506
