ocs,BANK_CONFLICT,EXEC_NUM_CONFLICT,RFC_NUM_CONFLICT,total,RFC_NUM_CONFLICT_pct,BANK_CONFLICT_pct,EXEC_NUM_CONFLICT_pct
1,47291,10417518,11023151,21487960,51.29919731793991,0.22008138511054565,48.48072129694955
2,113027,31997043,11455400,43565470,26.294677872177207,0.259441709225219,73.44588041859758
4,194249,68553359,9033328,77780936,11.613807270203074,0.24973857347255374,88.13645415632438
6,223697,81187363,7293795,88704855,8.222543174215211,0.25218123630324407,91.52527558948155
8,255216,102960253,7041026,110256495,6.386041928867773,0.23147479883157906,93.38248327230065
