ocs,EXECUTION_PIPELINE,OPERAND_COLLECTOR,SCHEDULER,WRITEBACK
1,84.72838115880295,4.217429417555992,10.786249178714144,0.2679402449269225
2,80.88079915907637,7.219670051140781,11.63287264030476,0.2666581494780891
3,78.94682080189351,9.406600393973022,11.386088039392893,0.26049076474058575
4,76.12580070459438,11.96224393027142,11.652200514561587,0.25975485057261044
5,75.93750673662643,12.293064944944968,11.509849570882286,0.2595787475463257
6,75.10558731572989,13.02720759017225,11.6090239525869,0.25818114151095317
7,73.39901944370696,14.56572064659496,11.781428171398876,0.2538317382992127
8,72.76262922799836,15.740985099276372,11.245919735962346,0.2504659367629288
