op,oc_stall,oc_remain,stall_pct,remain_pct
LOAD_OP,90084557,96880488,87.16608143783628,83.20836081093526
DP_OP,8427441,8912961,8.1544166168077,7.65513149336938
INTP_OP,2939676,6297776,2.8444391153175435,5.409010921935577
ALU_OP,1764825,2976568,1.7076498436189171,2.556503886750487
SP_OP,73903,1221774,0.07150875944808625,1.0493528048849177
SPECIALIZED_UNIT_1_OP,45185,56435,0.043721138460709,0.048470687331438
SFU_OP,12591,85192,0.012183088510762134,0.07316939479294526
