ocs,EXECUTION_PIPELINE,OPERAND_COLLECTOR,SCHEDULER,WRITEBACK
1,0.0,22.05610598384357,77.93590146783397,0.007992548322467756
2,0.0,41.55829789627305,58.41364773718188,0.02805436654506951
3,0.0,52.92116060626295,47.051070298255546,0.027769095481506585
4,0.0,58.86096709339769,41.11499533322323,0.02403757337908414
5,0.0,60.424135009416155,39.55122957359228,0.024635416991560355
6,0.0,62.44074356674668,37.535574236453314,0.023682196800011535
7,0.0,64.49607384727409,35.48215169874985,0.02177445397605709
8,0.0,68.15283888121071,31.826550703902317,0.020610414886979036
