case_label,ocs,lrr_vs_gto_pct
backprop,1,3.8225936654162185
bfs,1,0.24406257136333487
heartwall,1,2.1018593371058936
hotspot,1,1.2872580694167413
lud,1,-0.06473435586400456
nn,1,-0.556311413454269
nw,1,0.0
pathfinder,1,-0.0763488293179515
srad_v2,1,-0.6463552744247703
streamcluster,1,0.4281514741372616
backprop,2,2.361753900472352
bfs,2,-0.05946581074109947
heartwall,2,1.2741276029285986
hotspot,2,1.0286088219054745
lud,2,0.08645481235103336
nn,2,2.1739130434782705
nw,2,0.0
pathfinder,2,0.08567022674053071
srad_v2,2,0.3043077696194718
streamcluster,2,0.4053496877326035
backprop,3,5.492929892217946
bfs,3,-0.0573818114003366
heartwall,3,1.1592836946276996
hotspot,3,1.531199868372335
lud,3,-0.03486331177418034
nn,3,0.06636748625243882
nw,3,0.0
pathfinder,3,0.1604170844194952
srad_v2,3,-0.43462412023665964
streamcluster,3,0.691112103617697
backprop,4,3.0063521311157526
bfs,4,0.07963211398154257
heartwall,4,0.742690608254204
hotspot,4,0.7688791833832642
lud,4,0.05717931432973611
nn,4,0.2571177724821183
nw,4,0.0
pathfinder,4,0.04285836738191495
srad_v2,4,-0.005627937079666356
streamcluster,4,0.7919027106144005
