case,case_label,config,sched,ocs,reuse,rfc,bank,wbd,regb,ocu,dp,reuse_time,rfc_compiler_reuse_time,rfc_compiler_reuse_hit_time,reuse_time_rate,rfc_compiler_reuse_rate,computed_reuse_time_rate,computed_rfc_compiler_reuse_rate,compiler_reuse_coverage_pct,compiler_reuse_hit_over_all_reuse_pct,log_path
bfs-rodinia-2.0-ft___data_graph4096_txt___data_graph4096_result_txt,bfs,regress_sched_gto_rfc1_bank2_wbd1_reuse0_ocs4_regb8_ocu8_dp4_20260615_075144,gto,4,0,1,2,1,8,8,4,23924,10988,1485,2.1773,0.1351,2.1772843101565345,0.13514743356388786,45.928774452432705,6.2071559939809395,/Users/bytedance/Desktop/Accel-sim/accel-sim-framework/regress_result/20260615_074224/regress_sched_gto_rfc1_bank2_wbd1_reuse0_ocs4_regb8_ocu8_dp4_20260615_075144/bfs-rodinia-2.0-ft___data_graph4096_txt___data_graph4096_result_txt/bfs-rodinia-2.0-ft___data_graph4096_txt___data_graph4096_result_txt.log
bfs-rodinia-2.0-ft___data_graph4096_txt___data_graph4096_result_txt,bfs,regress_sched_gto_rfc1_bank2_wbd1_reuse0_ocs6_regb8_ocu8_dp4_20260615_075455,gto,6,0,1,2,1,8,8,4,20567,10988,244,1.8718,0.0222,1.8717692027666546,0.02220604295595195,53.42539018816551,1.186366509456897,/Users/bytedance/Desktop/Accel-sim/accel-sim-framework/regress_result/20260615_074224/regress_sched_gto_rfc1_bank2_wbd1_reuse0_ocs6_regb8_ocu8_dp4_20260615_075455/bfs-rodinia-2.0-ft___data_graph4096_txt___data_graph4096_result_txt/bfs-rodinia-2.0-ft___data_graph4096_txt___data_graph4096_result_txt.log
bfs-rodinia-2.0-ft___data_graph4096_txt___data_graph4096_result_txt,bfs,regress_sched_lrr_rfc1_bank2_wbd1_reuse0_ocs1_regb8_ocu8_dp4_20260615_075801,lrr,1,0,1,2,1,8,8,4,29349,10988,3787,2.671,0.3446,2.6710047324353843,0.34464870768110667,37.43909502879144,12.903335718423115,/Users/bytedance/Desktop/Accel-sim/accel-sim-framework/regress_result/20260615_074224/regress_sched_lrr_rfc1_bank2_wbd1_reuse0_ocs1_regb8_ocu8_dp4_20260615_075801/bfs-rodinia-2.0-ft___data_graph4096_txt___data_graph4096_result_txt/bfs-rodinia-2.0-ft___data_graph4096_txt___data_graph4096_result_txt.log
bfs-rodinia-2.0-ft___data_graph4096_txt___data_graph4096_result_txt,bfs,regress_sched_lrr_rfc1_bank2_wbd1_reuse0_ocs2_regb8_ocu8_dp4_20260615_080111,lrr,2,0,1,2,1,8,8,4,27777,10988,4450,2.5279,0.405,2.5279395704404806,0.40498725882781217,39.5579076214134,16.02044857256003,/Users/bytedance/Desktop/Accel-sim/accel-sim-framework/regress_result/20260615_074224/regress_sched_lrr_rfc1_bank2_wbd1_reuse0_ocs2_regb8_ocu8_dp4_20260615_080111/bfs-rodinia-2.0-ft___data_graph4096_txt___data_graph4096_result_txt/bfs-rodinia-2.0-ft___data_graph4096_txt___data_graph4096_result_txt.log
bfs-rodinia-2.0-ft___data_graph4096_txt___data_graph4096_result_txt,bfs,regress_sched_lrr_rfc1_bank2_wbd1_reuse0_ocs4_regb8_ocu8_dp4_20260615_080422,lrr,4,0,1,2,1,8,8,4,22361,10988,1150,2.035,0.1047,2.0350382235165636,0.1046596286858391,49.1391261571486,5.142882697553777,/Users/bytedance/Desktop/Accel-sim/accel-sim-framework/regress_result/20260615_074224/regress_sched_lrr_rfc1_bank2_wbd1_reuse0_ocs4_regb8_ocu8_dp4_20260615_080422/bfs-rodinia-2.0-ft___data_graph4096_txt___data_graph4096_result_txt/bfs-rodinia-2.0-ft___data_graph4096_txt___data_graph4096_result_txt.log
bfs-rodinia-2.0-ft___data_graph4096_txt___data_graph4096_result_txt,bfs,regress_sched_lrr_rfc1_bank2_wbd1_reuse0_ocs6_regb8_ocu8_dp4_20260615_080733,lrr,6,0,1,2,1,8,8,4,20657,10988,432,1.88,0.0393,1.879959956315981,0.039315617036767385,53.19262235561795,2.0913007697148664,/Users/bytedance/Desktop/Accel-sim/accel-sim-framework/regress_result/20260615_074224/regress_sched_lrr_rfc1_bank2_wbd1_reuse0_ocs6_regb8_ocu8_dp4_20260615_080733/bfs-rodinia-2.0-ft___data_graph4096_txt___data_graph4096_result_txt/bfs-rodinia-2.0-ft___data_graph4096_txt___data_graph4096_result_txt.log
heartwall-rodinia-2.0-ft___data_test_avi_1___data_result_1_txt,heartwall,regress_sched_gto_rfc1_bank2_wbd1_reuse0_ocs1_regb8_ocu8_dp4_20260615_074528,gto,1,0,1,2,1,8,8,4,27859,816,0,34.1409,0.0,34.14093137254902,0.0,2.929035500197423,0.0,/Users/bytedance/Desktop/Accel-sim/accel-sim-framework/regress_result/20260615_074224/regress_sched_gto_rfc1_bank2_wbd1_reuse0_ocs1_regb8_ocu8_dp4_20260615_074528/heartwall-rodinia-2.0-ft___data_test_avi_1___data_result_1_txt/heartwall-rodinia-2.0-ft___data_test_avi_1___data_result_1_txt.log
heartwall-rodinia-2.0-ft___data_test_avi_1___data_result_1_txt,heartwall,regress_sched_gto_rfc1_bank2_wbd1_reuse0_ocs2_regb8_ocu8_dp4_20260615_074839,gto,2,0,1,2,1,8,8,4,22114,816,93,27.1005,0.114,27.100490196078432,0.11397058823529412,3.689970154653161,0.4205480690965,/Users/bytedance/Desktop/Accel-sim/accel-sim-framework/regress_result/20260615_074224/regress_sched_gto_rfc1_bank2_wbd1_reuse0_ocs2_regb8_ocu8_dp4_20260615_074839/heartwall-rodinia-2.0-ft___data_test_avi_1___data_result_1_txt/heartwall-rodinia-2.0-ft___data_test_avi_1___data_result_1_txt.log
heartwall-rodinia-2.0-ft___data_test_avi_1___data_result_1_txt,heartwall,regress_sched_gto_rfc1_bank2_wbd1_reuse0_ocs4_regb8_ocu8_dp4_20260615_075144,gto,4,0,1,2,1,8,8,4,19134,816,45,23.4485,0.0551,23.448529411764707,0.05514705882352941,4.264659767952336,0.23518344308560676,/Users/bytedance/Desktop/Accel-sim/accel-sim-framework/regress_result/20260615_074224/regress_sched_gto_rfc1_bank2_wbd1_reuse0_ocs4_regb8_ocu8_dp4_20260615_075144/heartwall-rodinia-2.0-ft___data_test_avi_1___data_result_1_txt/heartwall-rodinia-2.0-ft___data_test_avi_1___data_result_1_txt.log
heartwall-rodinia-2.0-ft___data_test_avi_1___data_result_1_txt,heartwall,regress_sched_gto_rfc1_bank2_wbd1_reuse0_ocs6_regb8_ocu8_dp4_20260615_075455,gto,6,0,1,2,1,8,8,4,16402,816,29,20.1005,0.0355,20.100490196078432,0.03553921568627451,4.97500304840873,0.17680770637727106,/Users/bytedance/Desktop/Accel-sim/accel-sim-framework/regress_result/20260615_074224/regress_sched_gto_rfc1_bank2_wbd1_reuse0_ocs6_regb8_ocu8_dp4_20260615_075455/heartwall-rodinia-2.0-ft___data_test_avi_1___data_result_1_txt/heartwall-rodinia-2.0-ft___data_test_avi_1___data_result_1_txt.log
heartwall-rodinia-2.0-ft___data_test_avi_1___data_result_1_txt,heartwall,regress_sched_lrr_rfc1_bank2_wbd1_reuse0_ocs1_regb8_ocu8_dp4_20260615_075801,lrr,1,0,1,2,1,8,8,4,20390,816,0,24.9877,0.0,24.987745098039216,0.0,4.001961745953899,0.0,/Users/bytedance/Desktop/Accel-sim/accel-sim-framework/regress_result/20260615_074224/regress_sched_lrr_rfc1_bank2_wbd1_reuse0_ocs1_regb8_ocu8_dp4_20260615_075801/heartwall-rodinia-2.0-ft___data_test_avi_1___data_result_1_txt/heartwall-rodinia-2.0-ft___data_test_avi_1___data_result_1_txt.log
heartwall-rodinia-2.0-ft___data_test_avi_1___data_result_1_txt,heartwall,regress_sched_lrr_rfc1_bank2_wbd1_reuse0_ocs2_regb8_ocu8_dp4_20260615_080111,lrr,2,0,1,2,1,8,8,4,18240,816,41,22.3529,0.0502,22.352941176470587,0.05024509803921569,4.473684210526316,0.22478070175438597,/Users/bytedance/Desktop/Accel-sim/accel-sim-framework/regress_result/20260615_074224/regress_sched_lrr_rfc1_bank2_wbd1_reuse0_ocs2_regb8_ocu8_dp4_20260615_080111/heartwall-rodinia-2.0-ft___data_test_avi_1___data_result_1_txt/heartwall-rodinia-2.0-ft___data_test_avi_1___data_result_1_txt.log
heartwall-rodinia-2.0-ft___data_test_avi_1___data_result_1_txt,heartwall,regress_sched_lrr_rfc1_bank2_wbd1_reuse0_ocs4_regb8_ocu8_dp4_20260615_080422,lrr,4,0,1,2,1,8,8,4,16520,816,10,20.2451,0.0123,20.245098039215687,0.012254901960784314,4.939467312348668,0.06053268765133172,/Users/bytedance/Desktop/Accel-sim/accel-sim-framework/regress_result/20260615_074224/regress_sched_lrr_rfc1_bank2_wbd1_reuse0_ocs4_regb8_ocu8_dp4_20260615_080422/heartwall-rodinia-2.0-ft___data_test_avi_1___data_result_1_txt/heartwall-rodinia-2.0-ft___data_test_avi_1___data_result_1_txt.log
heartwall-rodinia-2.0-ft___data_test_avi_1___data_result_1_txt,heartwall,regress_sched_lrr_rfc1_bank2_wbd1_reuse0_ocs6_regb8_ocu8_dp4_20260615_080733,lrr,6,0,1,2,1,8,8,4,16829,816,169,20.6238,0.2071,20.623774509803923,0.20710784313725492,4.848772951452849,1.0042189078376613,/Users/bytedance/Desktop/Accel-sim/accel-sim-framework/regress_result/20260615_074224/regress_sched_lrr_rfc1_bank2_wbd1_reuse0_ocs6_regb8_ocu8_dp4_20260615_080733/heartwall-rodinia-2.0-ft___data_test_avi_1___data_result_1_txt/heartwall-rodinia-2.0-ft___data_test_avi_1___data_result_1_txt.log
hotspot-rodinia-2.0-ft_30_6_40___data_result_30_6_40_txt,hotspot,regress_sched_gto_rfc1_bank2_wbd1_reuse0_ocs1_regb8_ocu8_dp4_20260615_074528,gto,1,0,1,2,1,8,8,4,141842,96256,27338,1.4736,0.284,1.4735912566489362,0.2840134640957447,67.8614232737835,19.273557902454844,/Users/bytedance/Desktop/Accel-sim/accel-sim-framework/regress_result/20260615_074224/regress_sched_gto_rfc1_bank2_wbd1_reuse0_ocs1_regb8_ocu8_dp4_20260615_074528/hotspot-rodinia-2.0-ft_30_6_40___data_result_30_6_40_txt/hotspot-rodinia-2.0-ft_30_6_40___data_result_30_6_40_txt.log
hotspot-rodinia-2.0-ft_30_6_40___data_result_30_6_40_txt,hotspot,regress_sched_gto_rfc1_bank2_wbd1_reuse0_ocs2_regb8_ocu8_dp4_20260615_074839,gto,2,0,1,2,1,8,8,4,98688,96256,27440,1.0253,0.2851,1.0252659574468086,0.28507313829787234,97.53566796368352,27.804798962386513,/Users/bytedance/Desktop/Accel-sim/accel-sim-framework/regress_result/20260615_074224/regress_sched_gto_rfc1_bank2_wbd1_reuse0_ocs2_regb8_ocu8_dp4_20260615_074839/hotspot-rodinia-2.0-ft_30_6_40___data_result_30_6_40_txt/hotspot-rodinia-2.0-ft_30_6_40___data_result_30_6_40_txt.log
hotspot-rodinia-2.0-ft_30_6_40___data_result_30_6_40_txt,hotspot,regress_sched_gto_rfc1_bank2_wbd1_reuse0_ocs4_regb8_ocu8_dp4_20260615_075144,gto,4,0,1,2,1,8,8,4,78221,96256,25093,0.8126,0.2607,0.8126350565159575,0.2606902426861702,123.05646821186127,32.079620562253105,/Users/bytedance/Desktop/Accel-sim/accel-sim-framework/regress_result/20260615_074224/regress_sched_gto_rfc1_bank2_wbd1_reuse0_ocs4_regb8_ocu8_dp4_20260615_075144/hotspot-rodinia-2.0-ft_30_6_40___data_result_30_6_40_txt/hotspot-rodinia-2.0-ft_30_6_40___data_result_30_6_40_txt.log
hotspot-rodinia-2.0-ft_30_6_40___data_result_30_6_40_txt,hotspot,regress_sched_gto_rfc1_bank2_wbd1_reuse0_ocs6_regb8_ocu8_dp4_20260615_075455,gto,6,0,1,2,1,8,8,4,58005,96256,8792,0.6026,0.0913,0.6026117852393617,0.09133976063829788,165.9443151452461,15.157314024653045,/Users/bytedance/Desktop/Accel-sim/accel-sim-framework/regress_result/20260615_074224/regress_sched_gto_rfc1_bank2_wbd1_reuse0_ocs6_regb8_ocu8_dp4_20260615_075455/hotspot-rodinia-2.0-ft_30_6_40___data_result_30_6_40_txt/hotspot-rodinia-2.0-ft_30_6_40___data_result_30_6_40_txt.log
