sched,ocs,dp,reuse,wbd,bank,regb,ocu,rfc,case_label,op,stage,stall,remain
gto,1,4,0,1,2,8,8,1,hotspot,DP_OP,EXECUTION_PIPELINE,0,7663524
gto,1,4,0,1,2,8,8,1,hotspot,DP_OP,WRITEBACK,0,73871
gto,1,4,0,1,2,8,8,1,hotspot,INTP_OP,SCHEDULER,518605,1610316
gto,1,4,0,1,2,8,8,1,hotspot,INTP_OP,OPERAND_COLLECTOR,0,689723
gto,1,4,0,1,2,8,8,1,hotspot,INTP_OP,EXECUTION_PIPELINE,0,775396
gto,1,4,0,1,2,8,8,1,hotspot,INTP_OP,WRITEBACK,2340,196189
gto,1,4,0,1,2,8,8,1,hotspot,LOAD_OP,SCHEDULER,149812,389628
gto,1,4,0,1,2,8,8,1,hotspot,LOAD_OP,OPERAND_COLLECTOR,56226,431279
gto,1,4,0,1,2,8,8,1,hotspot,LOAD_OP,EXECUTION_PIPELINE,0,13044467
gto,1,4,0,1,2,8,8,1,hotspot,LOAD_OP,WRITEBACK,0,0
gto,1,4,0,1,2,8,8,1,hotspot,SFU_OP,SCHEDULER,0,14336
gto,1,4,0,1,2,8,8,1,hotspot,SFU_OP,OPERAND_COLLECTOR,64,43493
gto,1,4,0,1,2,8,8,1,hotspot,SFU_OP,EXECUTION_PIPELINE,0,331360
gto,1,4,0,1,2,8,8,1,hotspot,SFU_OP,WRITEBACK,6,14342
gto,1,4,0,1,2,8,8,1,hotspot,SP_OP,SCHEDULER,537321,1026151
gto,1,4,0,1,2,8,8,1,hotspot,SP_OP,OPERAND_COLLECTOR,0,308965
gto,1,4,0,1,2,8,8,1,hotspot,SP_OP,EXECUTION_PIPELINE,0,369552
gto,1,4,0,1,2,8,8,1,hotspot,SP_OP,WRITEBACK,381,92769
gto,1,4,0,1,2,8,8,1,lud,ALU_OP,SCHEDULER,1186,4374
gto,1,4,0,1,2,8,8,1,lud,ALU_OP,OPERAND_COLLECTOR,0,3698
gto,1,4,0,1,2,8,8,1,lud,ALU_OP,EXECUTION_PIPELINE,0,5368
gto,1,4,0,1,2,8,8,1,lud,ALU_OP,WRITEBACK,0,1342
gto,1,4,0,1,2,8,8,1,lud,INTP_OP,SCHEDULER,11258,27117
gto,1,4,0,1,2,8,8,1,lud,INTP_OP,OPERAND_COLLECTOR,0,21124
gto,1,4,0,1,2,8,8,1,lud,INTP_OP,EXECUTION_PIPELINE,0,25960
gto,1,4,0,1,2,8,8,1,lud,INTP_OP,WRITEBACK,0,6490
gto,1,4,0,1,2,8,8,1,lud,LOAD_OP,SCHEDULER,29925,73847
gto,1,4,0,1,2,8,8,1,lud,LOAD_OP,OPERAND_COLLECTOR,6972,43557
gto,1,4,0,1,2,8,8,1,lud,LOAD_OP,EXECUTION_PIPELINE,0,926040
gto,1,4,0,1,2,8,8,1,lud,LOAD_OP,WRITEBACK,0,0
gto,1,4,0,1,2,8,8,1,lud,SFU_OP,SCHEDULER,5786,6118
gto,1,4,0,1,2,8,8,1,lud,SFU_OP,OPERAND_COLLECTOR,0,312
gto,1,4,0,1,2,8,8,1,lud,SFU_OP,EXECUTION_PIPELINE,0,3588
gto,1,4,0,1,2,8,8,1,lud,SFU_OP,WRITEBACK,0,156
gto,1,4,0,1,2,8,8,1,lud,SP_OP,SCHEDULER,129203,148934
gto,1,4,0,1,2,8,8,1,lud,SP_OP,OPERAND_COLLECTOR,0,16148
gto,1,4,0,1,2,8,8,1,lud,SP_OP,EXECUTION_PIPELINE,0,20256
gto,1,4,0,1,2,8,8,1,lud,SP_OP,WRITEBACK,0,5064
gto,1,4,0,1,2,8,8,1,nn,ALU_OP,SCHEDULER,124231,368238
gto,1,4,0,1,2,8,8,1,nn,ALU_OP,OPERAND_COLLECTOR,0,166979
gto,1,4,0,1,2,8,8,1,nn,ALU_OP,EXECUTION_PIPELINE,0,167464
gto,1,4,0,1,2,8,8,1,nn,ALU_OP,WRITEBACK,25,41891
gto,1,4,0,1,2,8,8,1,nn,INTP_OP,SCHEDULER,743397,6103941
gto,1,4,0,1,2,8,8,1,nn,INTP_OP,OPERAND_COLLECTOR,0,687746
