sched,ocs,geomean_normalized_to_gto_ocs1_pct
gto,1,100.0
gto,2,98.15184941226015
gto,3,97.74537730005788
gto,4,98.20222269789797
lrr,1,100.64547553294683
lrr,2,98.90017982274142
lrr,3,98.57059799002893
lrr,4,98.76233794209793
