sched,ocs,case_count,reuse_time,rfc_compiler_reuse_time,rfc_compiler_reuse_hit_time,reuse_time_rate,rfc_compiler_reuse_rate,compiler_reuse_coverage_pct,compiler_reuse_hit_over_all_reuse_pct
gto,1,10,512713,212294,81827,2.415108293216012,0.3854418871941741,41.40601077015796,15.959610932431984
gto,2,10,385430,212294,63082,1.8155482491262118,0.2971445259875456,55.07978102379161,16.366655423812364
gto,4,10,301666,212294,44550,1.4209822227665407,0.20985049035771147,70.37385717979487,14.767988437543508
gto,6,10,250769,212294,18961,1.1812345143998417,0.08931481812957502,84.65719446981086,7.561141927431221
lrr,1,10,365903,212294,62446,1.7235673170226196,0.2941486806033143,58.01920181031585,17.06627166216183
lrr,2,10,324115,212294,49278,1.5267270860222144,0.23212149189331777,65.49959119448344,15.203862826465913
lrr,4,10,271736,212294,20721,1.2799984926564105,0.09760520787210189,78.12509200105985,7.625415844790533
lrr,6,10,245492,212294,16835,1.1563774765184132,0.07930040415649994,86.47695240578105,6.857657276000848
