sched,ocs,EXECUTION_PIPELINE,OPERAND_COLLECTOR,SCHEDULER,WRITEBACK
gto,1,0.0,19.9695210156274,80.02059828921617,0.009880695156432268
gto,2,0.0,40.68128001872903,59.291093641231605,0.027626340039364993
gto,3,0.0,53.14592457871511,46.828147661097816,0.025927760187072203
gto,4,0.0,59.44420623388405,40.53320763731896,0.022586128796981877
lrr,1,0.0,21.601153396551965,78.39108475762202,0.00776184582600988
lrr,2,0.0,40.33721567620472,59.63938309593752,0.023401227857762937
lrr,3,0.0,52.803458527893,47.17314807233665,0.02339339977034362
